Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-03-06;43732314373.0;Lehmox Importação e Exportação LTDA;24789857000109;MODERNA-0934/23;06/03/2023;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Jiangmen Hisound Electronics Co., Ltd;LEY-1565;LEY-1853A;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-06;43732314373.0;Lehmox Importação e Exportação LTDA;24789857000109;MODERNA-0934/23;06/03/2023;06/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Jiangmen Hisound Electronics Co., Ltd;LEY-1565;LEY-1852A;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-10;180132101821.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;ICC 01.023/2025;05/03/2025;06/12/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Continental Automotive Technologies GmbH;TIS-21;;2;Dispositivo de Operação Periódica;N;S;Alemanha;D;DEU
2025-03-07;1962517501.0;SAIC MOTOR BRAZIL LTDA;55049786000123;QC-5011-24.01;15/01/2025;15/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Daming Electronics Co., Ltd;DMK-EP33-033CL;;2;Dispositivo de Operação Periódica;N;S;China;CHN;CHN
2025-03-07;9482310539.0;FAC - FASTER APPROVAL CERTIFICATION LTDA;35503740000125;TÜV 22.1312;24/01/2023;24/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;BCS Automotive Interface Solutions(Suzhou)Co.,Ltd;524B/525A WPC;;2;Sistemas de Identificação por Radiofrequências;N;S;China;CHN;CHN
2025-03-07;9482310539.0;FAC - FASTER APPROVAL CERTIFICATION LTDA;35503740000125;TÜV 22.1312;24/01/2023;24/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;BCS Automotive Interface Solutions(Suzhou)Co.,Ltd;524B/525A WPC;;1;Carregador Indutivo para Telefone Celular;N;S;China;CHN;CHN
2025-03-07;175682114448.0;TEBE COMERCIO DE SENSORES LTDA.;36028703000175;BRC-24.2949.01;10/04/2024;04/02/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;TEBE COMERCIO DE SENSORES LTDA.;T01-TT;Sensor de Temperatura;2;Transceptor de Radiação Restrita;N;S;Brasil;BRA;BRA
2025-03-10;13492502032.0;RENTAL SAAS SERVIÇOS E SOLUÇÕES EM INFORMÁTICA LTDA;31766438000109;MODERNA-4868/24;08/03/2025;08/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Guangzhou Changjia Electronic Co., Ltd;TMK5514;Tecmakers;2;Tela interativa para uso educacional;N;S;China;CHN;CHN
2025-03-10;13492502032.0;RENTAL SAAS SERVIÇOS E SOLUÇÕES EM INFORMÁTICA LTDA;31766438000109;MODERNA-4868/24;08/03/2025;08/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Guangzhou Changjia Electronic Co., Ltd;TMK6514;Tecmakers;2;Tela interativa para uso educacional;N;S;China;CHN;CHN
2025-03-10;13492502032.0;RENTAL SAAS SERVIÇOS E SOLUÇÕES EM INFORMÁTICA LTDA;31766438000109;MODERNA-4868/24;08/03/2025;08/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Guangzhou Changjia Electronic Co., Ltd;TMK7514;Tecmakers;2;Tela interativa para uso educacional;N;S;China;CHN;CHN
