Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-01-21;18291804701.0;TESTO DO BRASIL - INSTRUMENTOS DE MEDIÇÃO LTDA;3144465000104;NCC 15516/18;12/03/2018;12/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Testo SE & Co. KGaA;testo 160 E;;2;Transceptor de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-14;34691101968.0;HDL da AmazOnia IndUstria EletrOnica Ltda.;4034304000120;TÜV 17.2048;11/12/2017;11/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;HDL da AmazOnia IndUstria EletrOnica Ltda.;Centrixfone M;;1;Telefone de Assinante;N;S;Brasil;BRA;BRA
2025-01-27;47691805099.0;WS AUDIOLOGY SOLUCOES AUDITIVAS LTDA;14011614000183;UL-BR 19.0148;04/02/2019;03/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Sivantos GmbH;Mosaic M 30 E1;;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Alemanha;D;DEU
2025-01-02;4191801138.0;TERACOM TELEMATICA S.A.;2820966000109;OCP 01218;06/02/2018;05/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;TERACOM TELEMATICA S.A.;DM4370 4GT+4GX+4XS;;3;Equipamento de Rede de Dados;N;S;Brasil;BRA;BRA
2025-01-27;33341501749.0;TAIT COMUNICACOES BRASIL LTDA;67116715000185;NCC 12505/15;10/09/2015;10/09/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Tait Limited;T02-00012-WBAA;;1;Transceptor Analógico Troncalizado - Móvel;N;S;Nova Zelândia;NZL;NZL
2025-01-27;4071106246.0;PANDUIT DO BRASIL;2445230000190;UL-BR 15.0170;16/03/2015;15/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;PANDUIT DO BRASIL;Cabo de manobra cat 6 U/UTP 4 pares cond. flexível;Netkey;1;Cabo de Manobra;N;S;Brasil;BRA;BRA
2025-01-28;39821811481.0;SANTANA CENTRO DAS ANTENAS LTDA;57464653000149;Versys 2138;11/06/2018;11/06/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;ZITECH - Forever Young Technology Co., Ltd.;CRS-01;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-01-21;25641906398.0;Sistema de Acesso Veicular Ltda.;20294649000170;MT-4548/2019;03/04/2019;03/04/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;STRATTEC Security Corporation;KIN;Keyless Ignition Node;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;Estados Unidos da América;USA;USA
2025-01-27;10330801985.0;HP BRASIL IND. E COM. DE EQUIP. ELETRONICOS LTDA;22086683000184;CPQD 6754;30/05/2008;30/05/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hewlett Packard Company;BOISB-0703-00;;1;Modem Analógico;N;S;Estados Unidos da América;USA;USA
2025-01-24;35881809807.0;HEWLETT-PACKARD BRASIL LTDA;61797924000317;NCC 15815/18;08/06/2018;24/05/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hewlett Packard Enterprise Company;BJNGA-AD0076;;3;Equipamento de Rede de Dados;N;S;Estados Unidos da América;USA;USA
